('Heterozygous variants for chromosome ', '1', '=', 5)
('Homozygous variants for chromosome ', '1', '=', 2)
('Total variants for chromosome ', '1', '=', 7)
('Heterozygous variants for chromosome ', '2', '=', 21)
('Homozygous variants for chromosome ', '2', '=', 5)
('Total variants for chromosome ', '2', '=', 26)
('Heterozygous variants for chromosome ', '3', '=', 1)
('Homozygous variants for chromosome ', '3', '=', 1)
('Total variants for chromosome ', '3', '=', 2)
('Heterozygous variants for chromosome ', '4', '=', 11)
('Homozygous variants for chromosome ', '4', '=', 4)
('Total variants for chromosome ', '4', '=', 15)
('Heterozygous variants for chromosome ', '5', '=', 8)
('Homozygous variants for chromosome ', '5', '=', 5)
('Total variants for chromosome ', '5', '=', 13)
('Heterozygous variants for chromosome ', '6', '=', 11)
('Homozygous variants for chromosome ', '6', '=', 2)
('Total variants for chromosome ', '6', '=', 13)
('Heterozygous variants for chromosome ', '7', '=', 5)
('Homozygous variants for chromosome ', '7', '=', 0)
('Total variants for chromosome ', '7', '=', 5)
('Heterozygous variants for chromosome ', '8', '=', 7)
('Homozygous variants for chromosome ', '8', '=', 2)
('Total variants for chromosome ', '8', '=', 9)
('Heterozygous variants for chromosome ', '9', '=', 7)
('Homozygous variants for chromosome ', '9', '=', 8)
('Total variants for chromosome ', '9', '=', 15)
('Heterozygous variants for chromosome ', '10', '=', 2)
('Homozygous variants for chromosome ', '10', '=', 2)
('Total variants for chromosome ', '10', '=', 4)
('Heterozygous variants for chromosome ', '11', '=', 7)
('Homozygous variants for chromosome ', '11', '=', 4)
('Total variants for chromosome ', '11', '=', 11)
('Heterozygous variants for chromosome ', '12', '=', 6)
('Homozygous variants for chromosome ', '12', '=', 0)
('Total variants for chromosome ', '12', '=', 6)
('Heterozygous variants for chromosome ', '14', '=', 1)
('Homozygous variants for chromosome ', '14', '=', 0)
('Total variants for chromosome ', '14', '=', 1)
('Heterozygous variants for chromosome ', '15', '=', 11)
('Homozygous variants for chromosome ', '15', '=', 1)
('Total variants for chromosome ', '15', '=', 12)
('Heterozygous variants for chromosome ', '16', '=', 7)
('Homozygous variants for chromosome ', '16', '=', 2)
('Total variants for chromosome ', '16', '=', 9)
('Heterozygous variants for chromosome ', '17', '=', 4)
('Homozygous variants for chromosome ', '17', '=', 5)
('Total variants for chromosome ', '17', '=', 9)
('Heterozygous variants for chromosome ', '18', '=', 1)
('Homozygous variants for chromosome ', '18', '=', 2)
('Total variants for chromosome ', '18', '=', 3)
('Heterozygous variants for chromosome ', '19', '=', 7)
('Homozygous variants for chromosome ', '19', '=', 0)
('Total variants for chromosome ', '19', '=', 7)
('Heterozygous variants for chromosome ', '20', '=', 1)
('Homozygous variants for chromosome ', '20', '=', 1)
('Total variants for chromosome ', '20', '=', 2)
('Heterozygous variants for chromosome ', '21', '=', 32)
('Homozygous variants for chromosome ', '21', '=', 2)
('Total variants for chromosome ', '21', '=', 34)
('Heterozygous variants for chromosome ', '22', '=', 3)
('Homozygous variants for chromosome ', '22', '=', 3)
('Total variants for chromosome ', '22', '=', 6)
